Fighting -> Rock -> Flying (<- 0.5x | 2x ->)
Fire -> Bug/Fighting -> Ground/Normal (<- 1x | 2x ->)
Fire -> Fighting/Grass -> Ground/Normal (<- 1x | 2x ->)
Fire -> Ice/Fighting -> Ground/Normal (<- 1x | 2x ->)
Fire -> Flying/Grass -> Ground/Normal (<- 1x | 2x ->)
Fire -> Flying/Ice -> Ground/Normal (<- 1x | 2x ->)
Fire -> Poison/Grass -> Ground/Normal (<- 1x | 2x ->)
Fire -> Ghost/Ice -> Ground/Normal (<- 1x | 2x ->)
Fire -> Electric/Grass -> Ground/Normal (<- 1x | 2x ->)
Fire -> Psychic/Grass -> Ground/Normal (<- 1x | 2x ->)
Fire -> Dark/Grass -> Ground/Normal (<- 1x | 2x ->)
Fire -> Ice/Psychic -> Ground/Normal (<- 1x | 2x ->)
Fire -> Dark/Ice -> Ground/Normal (<- 1x | 2x ->)
Fire -> Steel/Fairy -> Rock/Normal (<- 0.5x | 2x ->)
Fire -> Bug/Normal -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Bug/Normal -> Dark/Ground (<- 1x | 2x ->)
Fire -> Bug/Normal -> Water/Grass (<- 1x | 2x ->)
Fire -> Normal/Grass -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Normal/Grass -> Dark/Ground (<- 1x | 2x ->)
Fire -> Normal/Grass -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Ice/Normal -> Poison/Ground (<- 1x | 2x ->)
Fire -> Ice/Normal -> Ghost/Ground (<- 1x | 2x ->)
Fire -> Ice/Normal -> Electric/Ground (<- 1x | 2x ->)
Fire -> Ice/Normal -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Ice/Normal -> Dark/Ground (<- 1x | 2x ->)
Fire -> Ice/Normal -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Fighting/Grass -> Fighting/Ground (<- 1x | 2x ->)
Fire -> Flying/Steel -> Fighting/Ground (<- 1x | 2x ->)
Fire -> Flying/Ice -> Fighting/Ground (<- 1x | 2x ->)
Fire -> Poison/Grass -> Fighting/Ground (<- 1x | 2x ->)
Fire -> Ghost/Ice -> Fighting/Ground (<- 1x | 2x ->)
Fire -> Electric/Grass -> Fighting/Ground (<- 1x | 2x ->)
Fire -> Ice/Psychic -> Fighting/Ground (<- 1x | 2x ->)
Fire -> Bug/Fighting -> Rock/Grass (<- 1x | 2x ->)
Fire -> Bug/Fighting -> Steel/Water (<- 1x | 2x ->)
Fire -> Bug/Fighting -> Water/Grass (<- 1x | 2x ->)
Fire -> Bug/Fighting -> Ice/Water (<- 1x | 2x ->)
Fire -> Steel/Fighting -> Steel/Water (<- 1x | 2x ->)
Fire -> Steel/Fighting -> Ice/Water (<- 1x | 2x ->)
Fire -> Fairy/Grass -> Fighting/Water (<- 0.5x | 2x ->)
Fire -> Fighting/Grass -> Ghost/Ground (<- 1x | 2x ->)
Fire -> Fighting/Grass -> Steel/Water (<- 1x | 2x ->)
Fire -> Ice/Fighting -> Poison/Ground (<- 1x | 2x ->)
Fire -> Ice/Fighting -> Ghost/Ground (<- 1x | 2x ->)
Fire -> Ice/Fighting -> Electric/Ground (<- 1x | 2x ->)
Fire -> Ice/Fighting -> Dark/Ground (<- 1x | 2x ->)
Fire -> Ice/Fighting -> Rock/Grass (<- 1x | 2x ->)
Fire -> Ice/Fighting -> Ice/Water (<- 1x | 2x ->)
Fire -> Steel/Fairy -> Flying/Rock (<- 0.5x | 2x ->)
Fire -> Bug/Flying -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Bug/Flying -> Dark/Ground (<- 1x | 2x ->)
Fire -> Bug/Flying -> Bug/Water (<- 1x | 2x ->)
Fire -> Bug/Flying -> Water/Grass (<- 1x | 2x ->)
Fire -> Flying/Steel -> Bug/Rock (<- 1x | 2x ->)
Fire -> Flying/Steel -> Rock/Grass (<- 1x | 2x ->)
Fire -> Flying/Steel -> Bug/Water (<- 1x | 2x ->)
Fire -> Flying/Steel -> Water/Grass (<- 1x | 2x ->)
Fire -> Flying/Grass -> Ghost/Ground (<- 1x | 2x ->)
Fire -> Flying/Grass -> Electric/Ground (<- 1x | 2x ->)
Fire -> Flying/Grass -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Flying/Grass -> Dark/Ground (<- 1x | 2x ->)
Fire -> Flying/Grass -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Flying/Grass -> Bug/Water (<- 1x | 2x ->)
Fire -> Flying/Ice -> Poison/Ground (<- 1x | 2x ->)
Fire -> Flying/Ice -> Ghost/Ground (<- 1x | 2x ->)
Fire -> Flying/Ice -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Flying/Ice -> Dark/Ground (<- 1x | 2x ->)
Fire -> Flying/Ice -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Flying/Ice -> Bug/Water (<- 1x | 2x ->)
Fire -> Flying/Ice -> Water/Grass (<- 1x | 2x ->)
Fire -> Bug/Psychic -> Poison/Ground (<- 1x | 2x ->)
Fire -> Ghost/Ice -> Poison/Ground (<- 1x | 2x ->)
Fire -> Ice/Psychic -> Poison/Ground (<- 1x | 2x ->)
Fire -> Dark/Ice -> Poison/Ground (<- 1x | 2x ->)
Fire -> Steel/Fairy -> Poison/Rock (<- 0.5x | 2x ->)
Fire -> Bug/Poison -> Dark/Ground (<- 1x | 2x ->)
Fire -> Bug/Poison -> Water/Grass (<- 1x | 2x ->)
Fire -> Poison/Steel -> Water/Grass (<- 1x | 2x ->)
Fire -> Poison/Grass -> Ghost/Ground (<- 1x | 2x ->)
Fire -> Poison/Grass -> Electric/Ground (<- 1x | 2x ->)
Fire -> Poison/Grass -> Dark/Ground (<- 1x | 2x ->)
Fire -> Poison/Grass -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Poison/Ice -> Water/Grass (<- 1x | 2x ->)
Fire -> Electric/Grass -> Ghost/Ground (<- 1x | 2x ->)
Fire -> Dark/Ice -> Ghost/Ground (<- 1x | 2x ->)
Fire -> Steel/Ground -> Steel/Ground (<- 2x | 2x ->)
Fire -> Steel/Ground -> Ice/Ground (<- 2x | 2x ->)
Fire -> Ghost/Ice -> Electric/Ground (<- 1x | 2x ->)
Fire -> Electric/Grass -> Electric/Ground (<- 1x | 2x ->)
Fire -> Ice/Psychic -> Electric/Ground (<- 1x | 2x ->)
Fire -> Dark/Ice -> Electric/Ground (<- 1x | 2x ->)
Fire -> Bug/Ghost -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Bug/Electric -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Ghost/Grass -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Ghost/Ice -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Electric/Grass -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Ice/Psychic -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Dark/Ice -> Psychic/Ground (<- 1x | 2x ->)
Fire -> Bug/Fairy -> Dragon/Ground (<- 0.5x | 2x ->)
Fire -> Fairy/Grass -> Dragon/Ground (<- 0.5x | 2x ->)
Fire -> Bug/Electric -> Dark/Ground (<- 1x | 2x ->)
Fire -> Electric/Grass -> Dark/Ground (<- 1x | 2x ->)
Fire -> Dark/Ice -> Dark/Ground (<- 1x | 2x ->)
Fire -> Ghost/Grass -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Ghost/Ice -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Electric/Grass -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Psychic/Grass -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Ice/Psychic -> Fairy/Ground (<- 1x | 2x ->)
Fire -> Steel/Psychic -> Bug/Rock (<- 1x | 2x ->)
Fire -> Dark/Steel -> Bug/Rock (<- 1x | 2x ->)
Fire -> Steel/Fairy -> Rock/Psychic (<- 0.5x | 2x ->)
Fire -> Steel/Fairy -> Dark/Rock (<- 0.5x | 2x ->)
Fire -> Bug/Ghost -> Water/Grass (<- 1x | 2x ->)
Fire -> Bug/Electric -> Bug/Water (<- 1x | 2x ->)
Fire -> Electric/Steel -> Bug/Water (<- 1x | 2x ->)
Fire -> Electric/Ice -> Bug/Water (<- 1x | 2x ->)
Fire -> Bug/Electric -> Steel/Water (<- 1x | 2x ->)
Fire -> Bug/Electric -> Water/Grass (<- 1x | 2x ->)
Fire -> Bug/Electric -> Ice/Water (<- 1x | 2x ->)
Fire -> Bug/Psychic -> Water/Grass (<- 1x | 2x ->)
Fire -> Bug/Dark -> Water/Grass (<- 1x | 2x ->)
Fire -> Electric/Steel -> Steel/Water (<- 1x | 2x ->)
Fire -> Electric/Ice -> Steel/Water (<- 1x | 2x ->)
Fire -> Electric/Steel -> Ice/Water (<- 1x | 2x ->)
Fire -> Fairy/Grass -> Electric/Water (<- 0.5x | 2x ->)
Fire -> Electric/Ice -> Ice/Water (<- 1x | 2x ->)
Fire -> Fairy/Grass -> Dark/Water (<- 0.5x | 2x ->)
Water -> Ice/Fire -> Grass (<- 0.5x | 2x ->)
Water -> Ground/Normal -> Electric/Normal (<- 1x | 2x ->)
Water -> Ground/Normal -> Electric/Psychic (<- 1x | 2x ->)
Water -> Ground/Normal -> Electric/Dark (<- 1x | 2x ->)
Water -> Ground/Normal -> Electric/Fairy (<- 1x | 2x ->)
Water -> Rock/Normal -> Electric/Flying (<- 1x | 2x ->)
Water -> Rock/Normal -> Bug/Electric (<- 1x | 2x ->)
Water -> Rock/Normal -> Electric/Ice (<- 1x | 2x ->)
Water -> Fire/Normal -> Bug/Electric (<- 1x | 2x ->)
Water -> Fire/Normal -> Electric/Steel (<- 1x | 2x ->)
Water -> Fire/Normal -> Electric/Ice (<- 1x | 2x ->)
Water -> Steel/Fire -> Normal/Grass (<- 0.5x | 2x ->)
Water -> Fighting/Ground -> Electric/Normal (<- 1x | 2x ->)
Water -> Rock/Fighting -> Electric/Normal (<- 1x | 2x ->)
Water -> Fighting/Fire -> Electric/Normal (<- 1x | 2x ->)
Water -> Flying/Ground -> Electric/Normal (<- 1x | 2x ->)
Water -> Poison/Ground -> Electric/Normal (<- 1x | 2x ->)
Water -> Bug/Ground -> Electric/Normal (<- 1x | 2x ->)
Water -> Psychic/Ground -> Electric/Normal (<- 1x | 2x ->)
Water -> Ice/Ground -> Electric/Normal (<- 1x | 2x ->)
Water -> Dark/Ground -> Electric/Normal (<- 1x | 2x ->)
Water -> Fairy/Ground -> Electric/Normal (<- 1x | 2x ->)
Water -> Fighting/Ground -> Electric/Fighting (<- 1x | 2x ->)
Water -> Fighting/Ground -> Ghost/Electric (<- 1x | 2x ->)
Water -> Rock/Fighting -> Electric/Flying (<- 1x | 2x ->)
Water -> Rock/Fighting -> Bug/Electric (<- 1x | 2x ->)
Water -> Rock/Fighting -> Electric/Ice (<- 1x | 2x ->)
Water -> Rock/Fighting -> Electric/Dark (<- 1x | 2x ->)
Water -> Fighting/Fire -> Rock/Grass (<- 1x | 2x ->)
Water -> Fighting/Fire -> Bug/Electric (<- 1x | 2x ->)
Water -> Fighting/Fire -> Electric/Steel (<- 1x | 2x ->)
Water -> Fighting/Fire -> Electric/Ice (<- 1x | 2x ->)
Water -> Fighting/Fire -> Electric/Dark (<- 1x | 2x ->)
Water -> Rock/Psychic -> Electric/Fighting (<- 1x | 2x ->)
Water -> Rock/Fairy -> Electric/Fighting (<- 1x | 2x ->)
Water -> Fire/Psychic -> Electric/Fighting (<- 1x | 2x ->)
Water -> Fire/Fairy -> Electric/Fighting (<- 1x | 2x ->)
Water -> Flying/Ground -> Ground/Grass (<- 1x | 2x ->)
Water -> Flying/Ground -> Ghost/Electric (<- 1x | 2x ->)
Water -> Flying/Ground -> Fire/Grass (<- 1x | 2x ->)
Water -> Flying/Ground -> Electric/Psychic (<- 1x | 2x ->)
Water -> Flying/Ground -> Electric/Dark (<- 1x | 2x ->)
Water -> Flying/Ground -> Electric/Fairy (<- 1x | 2x ->)
Water -> Flying/Rock -> Ground/Grass (<- 1x | 2x ->)
Water -> Flying/Rock -> Fire/Grass (<- 1x | 2x ->)
Water -> Steel/Fire -> Flying/Grass (<- 0.5x | 2x ->)
Water -> Poison/Rock -> Electric/Flying (<- 1x | 2x ->)
Water -> Ice/Ground -> Electric/Flying (<- 1x | 2x ->)
Water -> Bug/Rock -> Electric/Flying (<- 1x | 2x ->)
Water -> Ghost/Rock -> Electric/Flying (<- 1x | 2x ->)
Water -> Rock/Steel -> Electric/Flying (<- 1x | 2x ->)
Water -> Rock/Psychic -> Electric/Flying (<- 1x | 2x ->)
Water -> Rock/Ice -> Electric/Flying (<- 1x | 2x ->)
Water -> Dark/Rock -> Electric/Flying (<- 1x | 2x ->)
Water -> Rock/Fairy -> Electric/Flying (<- 1x | 2x ->)
Water -> Poison/Ground -> Ghost/Electric (<- 1x | 2x ->)
Water -> Poison/Ground -> Fire/Grass (<- 1x | 2x ->)
Water -> Poison/Ground -> Electric/Dark (<- 1x | 2x ->)
Water -> Poison/Rock -> Bug/Electric (<- 1x | 2x ->)
Water -> Poison/Rock -> Fire/Grass (<- 1x | 2x ->)
Water -> Poison/Rock -> Electric/Ice (<- 1x | 2x ->)
Water -> Poison/Rock -> Electric/Fairy (<- 1x | 2x ->)
Water -> Poison/Fire -> Bug/Electric (<- 1x | 2x ->)
Water -> Poison/Fire -> Electric/Steel (<- 1x | 2x ->)
Water -> Poison/Fire -> Electric/Ice (<- 1x | 2x ->)
Water -> Poison/Fire -> Electric/Fairy (<- 1x | 2x ->)
Water -> Rock/Psychic -> Electric/Poison (<- 1x | 2x ->)
Water -> Fire/Psychic -> Electric/Poison (<- 1x | 2x ->)
Water -> Bug/Ground -> Ground/Grass (<- 1x | 2x ->)
Water -> Bug/Ground -> Rock/Grass (<- 1x | 2x ->)
Water -> Bug/Ground -> Ghost/Electric (<- 1x | 2x ->)
Water -> Bug/Ground -> Electric/Psychic (<- 1x | 2x ->)
Water -> Bug/Ground -> Electric/Dark (<- 1x | 2x ->)
Water -> Bug/Ground -> Electric/Fairy (<- 1x | 2x ->)
Water -> Ghost/Ground -> Electric/Psychic (<- 1x | 2x ->)
Water -> Ghost/Ground -> Electric/Fairy (<- 1x | 2x ->)
Water -> Steel/Ground -> Rock/Grass (<- 1x | 2x ->)
Water -> Steel/Ground -> Ghost/Electric (<- 1x | 2x ->)
Water -> Steel/Ground -> Electric/Ice (<- 1x | 2x ->)
Water -> Steel/Ground -> Electric/Dark (<- 1x | 2x ->)
Water -> Bug/Rock -> Ground/Grass (<- 1x | 2x ->)
Water -> Bug/Fire -> Ground/Grass (<- 1x | 2x ->)
Water -> Electric/Ground -> Electric/Ground (<- 2x | 2x ->)
Water -> Psychic/Ground -> Electric/Fairy (<- 1x | 2x ->)
Water -> Ice/Ground -> Ghost/Electric (<- 1x | 2x ->)
Water -> Ice/Ground -> Electric/Psychic (<- 1x | 2x ->)
Water -> Ice/Ground -> Electric/Ice (<- 1x | 2x ->)
Water -> Ice/Ground -> Electric/Dark (<- 1x | 2x ->)
Water -> Ice/Ground -> Electric/Fairy (<- 1x | 2x ->)
Water -> Fairy/Ground -> Ghost/Electric (<- 1x | 2x ->)
Water -> Fairy/Ground -> Electric/Psychic (<- 1x | 2x ->)
Water -> Fairy/Ground -> Electric/Fairy (<- 1x | 2x ->)
Water -> Bug/Rock -> Bug/Electric (<- 1x | 2x ->)
Water -> Bug/Rock -> Fire/Grass (<- 1x | 2x ->)
Water -> Bug/Rock -> Electric/Psychic (<- 1x | 2x ->)
Water -> Bug/Rock -> Electric/Ice (<- 1x | 2x ->)
Water -> Bug/Rock -> Electric/Dark (<- 1x | 2x ->)
Water -> Ghost/Rock -> Bug/Electric (<- 1x | 2x ->)
Water -> Ghost/Rock -> Electric/Psychic (<- 1x | 2x ->)
Water -> Ghost/Rock -> Electric/Ice (<- 1x | 2x ->)
Water -> Rock/Steel -> Rock/Grass (<- 1x | 2x ->)
Water -> Rock/Steel -> Bug/Electric (<- 1x | 2x ->)
Water -> Rock/Steel -> Fire/Grass (<- 1x | 2x ->)
Water -> Rock/Steel -> Electric/Ice (<- 1x | 2x ->)
Water -> Rock/Psychic -> Electric/Ice (<- 1x | 2x ->)
Water -> Rock/Ice -> Bug/Electric (<- 1x | 2x ->)
Water -> Rock/Ice -> Electric/Ice (<- 1x | 2x ->)
Water -> Dark/Rock -> Ghost/Electric (<- 1x | 2x ->)
Water -> Dark/Rock -> Electric/Psychic (<- 1x | 2x ->)
Water -> Dark/Rock -> Electric/Ice (<- 1x | 2x ->)
Water -> Rock/Fairy -> Bug/Electric (<- 1x | 2x ->)
Water -> Rock/Fairy -> Electric/Ice (<- 1x | 2x ->)
Water -> Rock/Fairy -> Electric/Dark (<- 1x | 2x ->)
Water -> Bug/Fire -> Bug/Electric (<- 1x | 2x ->)
Water -> Bug/Fire -> Electric/Steel (<- 1x | 2x ->)
Water -> Bug/Fire -> Electric/Psychic (<- 1x | 2x ->)
Water -> Bug/Fire -> Electric/Ice (<- 1x | 2x ->)
Water -> Bug/Fire -> Electric/Dark (<- 1x | 2x ->)
Water -> Ghost/Fire -> Bug/Electric (<- 1x | 2x ->)
Water -> Fire/Psychic -> Bug/Electric (<- 1x | 2x ->)
Water -> Dark/Fire -> Bug/Electric (<- 1x | 2x ->)
Water -> Fire/Fairy -> Bug/Electric (<- 1x | 2x ->)
Water -> Ghost/Fire -> Electric/Steel (<- 1x | 2x ->)
Water -> Ghost/Fire -> Electric/Psychic (<- 1x | 2x ->)
Water -> Ghost/Fire -> Electric/Ice (<- 1x | 2x ->)
Water -> Dark/Fire -> Ghost/Electric (<- 1x | 2x ->)
Water -> Steel/Fire -> Psychic/Grass (<- 0.5x | 2x ->)
Water -> Fire/Psychic -> Electric/Steel (<- 1x | 2x ->)
Water -> Dark/Fire -> Electric/Steel (<- 1x | 2x ->)
Water -> Fire/Fairy -> Electric/Steel (<- 1x | 2x ->)
Water -> Fire/Psychic -> Electric/Ice (<- 1x | 2x ->)
Water -> Ice/Fire -> Fairy/Grass (<- 0.5x | 2x ->)
Water -> Dark/Fire -> Electric/Psychic (<- 1x | 2x ->)
Water -> Dark/Fire -> Electric/Ice (<- 1x | 2x ->)
Water -> Fire/Fairy -> Electric/Ice (<- 1x | 2x ->)
Water -> Fire/Fairy -> Electric/Dark (<- 1x | 2x ->)
Grass -> Rock/Normal -> Ice (<- 1x | 2x ->)
Grass -> Rock/Fighting -> Ice (<- 1x | 2x ->)
Grass -> Ghost/Rock -> Ice (<- 1x | 2x ->)
Grass -> Electric/Rock -> Ice (<- 1x | 2x ->)
Grass -> Rock/Psychic -> Ice (<- 1x | 2x ->)
Grass -> Dark/Rock -> Ice (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Ice (<- 1x | 2x ->)
Grass -> Ground/Normal -> Poison/Ground (<- 1x | 2x ->)
Grass -> Ground/Normal -> Fire/Ground (<- 1x | 2x ->)
Grass -> Rock/Normal -> Ice/Normal (<- 1x | 2x ->)
Grass -> Rock/Normal -> Flying/Rock (<- 1x | 2x ->)
Grass -> Rock/Normal -> Bug/Rock (<- 1x | 2x ->)
Grass -> Rock/Normal -> Rock/Fire (<- 1x | 2x ->)
Grass -> Rock/Normal -> Ghost/Ice (<- 1x | 2x ->)
Grass -> Rock/Normal -> Electric/Ice (<- 1x | 2x ->)
Grass -> Rock/Normal -> Ice/Psychic (<- 1x | 2x ->)
Grass -> Rock/Normal -> Dark/Ice (<- 1x | 2x ->)
Grass -> Rock/Normal -> Ice/Fairy (<- 1x | 2x ->)
Grass -> Water/Normal -> Flying/Ground (<- 1x | 2x ->)
Grass -> Water/Normal -> Flying/Rock (<- 1x | 2x ->)
Grass -> Water/Normal -> Poison/Ground (<- 1x | 2x ->)
Grass -> Water/Normal -> Poison/Rock (<- 1x | 2x ->)
Grass -> Water/Normal -> Bug/Ground (<- 1x | 2x ->)
Grass -> Water/Normal -> Bug/Rock (<- 1x | 2x ->)
Grass -> Ghost/Rock -> Ice/Normal (<- 1x | 2x ->)
Grass -> Electric/Rock -> Ice/Normal (<- 1x | 2x ->)
Grass -> Rock/Psychic -> Ice/Normal (<- 1x | 2x ->)
Grass -> Dark/Rock -> Ice/Normal (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Ice/Normal (<- 1x | 2x ->)
Grass -> Fighting/Ground -> Poison/Ground (<- 1x | 2x ->)
Grass -> Fighting/Ground -> Fire/Ground (<- 1x | 2x ->)
Grass -> Rock/Fighting -> Flying/Rock (<- 1x | 2x ->)
Grass -> Rock/Fighting -> Ghost/Ice (<- 1x | 2x ->)
Grass -> Rock/Fighting -> Electric/Ice (<- 1x | 2x ->)
Grass -> Fighting/Water -> Ice/Fighting (<- 1x | 2x ->)
Grass -> Fighting/Water -> Poison/Ground (<- 1x | 2x ->)
Grass -> Fighting/Water -> Poison/Rock (<- 1x | 2x ->)
Grass -> Fighting/Water -> Bug/Ground (<- 1x | 2x ->)
Grass -> Rock/Psychic -> Ice/Fighting (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Ice/Fighting (<- 1x | 2x ->)
Grass -> Ghost/Water -> Flying/Ground (<- 1x | 2x ->)
Grass -> Psychic/Water -> Flying/Ground (<- 1x | 2x ->)
Grass -> Dark/Water -> Flying/Ground (<- 1x | 2x ->)
Grass -> Fairy/Water -> Flying/Ground (<- 1x | 2x ->)
Grass -> Ghost/Rock -> Flying/Rock (<- 1x | 2x ->)
Grass -> Electric/Rock -> Flying/Rock (<- 1x | 2x ->)
Grass -> Rock/Psychic -> Flying/Rock (<- 1x | 2x ->)
Grass -> Dark/Rock -> Flying/Rock (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Flying/Rock (<- 1x | 2x ->)
Grass -> Ghost/Water -> Flying/Rock (<- 1x | 2x ->)
Grass -> Psychic/Water -> Flying/Rock (<- 1x | 2x ->)
Grass -> Dark/Water -> Flying/Rock (<- 1x | 2x ->)
Grass -> Fairy/Water -> Flying/Rock (<- 1x | 2x ->)
Grass -> Electric/Water -> Flying/Ice (<- 0.5x | 2x ->)
Grass -> Ghost/Ground -> Poison/Ground (<- 1x | 2x ->)
Grass -> Psychic/Ground -> Poison/Ground (<- 1x | 2x ->)
Grass -> Dark/Ground -> Poison/Ground (<- 1x | 2x ->)
Grass -> Fairy/Ground -> Poison/Ground (<- 1x | 2x ->)
Grass -> Ghost/Water -> Poison/Ground (<- 1x | 2x ->)
Grass -> Psychic/Water -> Poison/Ground (<- 1x | 2x ->)
Grass -> Dark/Water -> Poison/Ground (<- 1x | 2x ->)
Grass -> Rock/Psychic -> Poison/Rock (<- 1x | 2x ->)
Grass -> Ghost/Water -> Poison/Rock (<- 1x | 2x ->)
Grass -> Psychic/Water -> Poison/Rock (<- 1x | 2x ->)
Grass -> Dark/Water -> Poison/Rock (<- 1x | 2x ->)
Grass -> Psychic/Water -> Poison/Water (<- 1x | 2x ->)
Grass -> Ghost/Water -> Bug/Ground (<- 1x | 2x ->)
Grass -> Fairy/Water -> Bug/Ground (<- 1x | 2x ->)
Grass -> Ghost/Ground -> Fire/Ground (<- 1x | 2x ->)
Grass -> Psychic/Ground -> Fire/Ground (<- 1x | 2x ->)
Grass -> Dark/Ground -> Fire/Ground (<- 1x | 2x ->)
Grass -> Fairy/Ground -> Fire/Ground (<- 1x | 2x ->)
Grass -> Ghost/Rock -> Bug/Rock (<- 1x | 2x ->)
Grass -> Electric/Rock -> Bug/Rock (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Bug/Rock (<- 1x | 2x ->)
Grass -> Ghost/Water -> Bug/Rock (<- 1x | 2x ->)
Grass -> Fairy/Water -> Bug/Rock (<- 1x | 2x ->)
Grass -> Ghost/Rock -> Rock/Fire (<- 1x | 2x ->)
Grass -> Ghost/Rock -> Electric/Ice (<- 1x | 2x ->)
Grass -> Ghost/Rock -> Ice/Psychic (<- 1x | 2x ->)
Grass -> Ghost/Rock -> Ice/Fairy (<- 1x | 2x ->)
Grass -> Electric/Rock -> Rock/Fire (<- 1x | 2x ->)
Grass -> Rock/Psychic -> Rock/Fire (<- 1x | 2x ->)
Grass -> Dark/Rock -> Rock/Fire (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Rock/Fire (<- 1x | 2x ->)
Grass -> Electric/Rock -> Ghost/Ice (<- 1x | 2x ->)
Grass -> Electric/Rock -> Electric/Ice (<- 1x | 2x ->)
Grass -> Electric/Rock -> Ice/Psychic (<- 1x | 2x ->)
Grass -> Electric/Rock -> Dark/Ice (<- 1x | 2x ->)
Grass -> Electric/Rock -> Ice/Fairy (<- 1x | 2x ->)
Grass -> Rock/Psychic -> Electric/Ice (<- 1x | 2x ->)
Grass -> Rock/Psychic -> Ice/Psychic (<- 1x | 2x ->)
Grass -> Rock/Psychic -> Ice/Fairy (<- 1x | 2x ->)
Grass -> Rock/Ice -> Rock/Ice (<- 2x | 2x ->)
Grass -> Rock/Ice -> Ice/Water (<- 2x | 2x ->)
Grass -> Dark/Rock -> Ghost/Ice (<- 1x | 2x ->)
Grass -> Dark/Rock -> Electric/Ice (<- 1x | 2x ->)
Grass -> Dark/Rock -> Ice/Psychic (<- 1x | 2x ->)
Grass -> Dark/Rock -> Dark/Ice (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Ghost/Ice (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Electric/Ice (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Ice/Psychic (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Dark/Ice (<- 1x | 2x ->)
Grass -> Rock/Fairy -> Ice/Fairy (<- 1x | 2x ->)
Grass -> Ghost/Water -> Ice/Psychic (<- 1x | 2x ->)
Grass -> Electric/Water -> Ice/Fire (<- 0.5x | 2x ->)
Psychic -> Flying/Fighting -> Bug/Normal (<- 1x | 2x ->)
Psychic -> Fighting/Fire -> Bug/Normal (<- 1x | 2x ->)
Psychic -> Poison/Flying -> Bug/Normal (<- 1x | 2x ->)
Psychic -> Poison/Fire -> Bug/Normal (<- 1x | 2x ->)
Psychic -> Flying/Fighting -> Bug/Ghost (<- 1x | 2x ->)
Psychic -> Flying/Fighting -> Bug/Fire (<- 1x | 2x ->)
Psychic -> Flying/Fighting -> Bug/Water (<- 1x | 2x ->)
Psychic -> Flying/Fighting -> Bug/Dragon (<- 1x | 2x ->)
Psychic -> Flying/Fighting -> Ghost/Grass (<- 1x | 2x ->)
Psychic -> Fighting/Ground -> Ghost/Rock (<- 1x | 2x ->)
Psychic -> Fighting/Ground -> Ghost/Fire (<- 1x | 2x ->)
Psychic -> Fighting/Ground -> Ghost/Electric (<- 1x | 2x ->)
Psychic -> Rock/Fighting -> Ghost/Flying (<- 1x | 2x ->)
Psychic -> Rock/Fighting -> Bug/Ghost (<- 1x | 2x ->)
Psychic -> Rock/Fighting -> Bug/Electric (<- 1x | 2x ->)
Psychic -> Rock/Fighting -> Bug/Dragon (<- 1x | 2x ->)
Psychic -> Rock/Fighting -> Ghost/Fire (<- 1x | 2x ->)
Psychic -> Rock/Fighting -> Ghost/Ice (<- 1x | 2x ->)
Psychic -> Ghost/Fighting -> Ghost/Fighting (<- 2x | 2x ->)
Psychic -> Ghost/Fighting -> Ghost/Poison (<- 2x | 2x ->)
Psychic -> Fighting/Fire -> Bug/Ghost (<- 1x | 2x ->)
Psychic -> Fighting/Fire -> Bug/Electric (<- 1x | 2x ->)
Psychic -> Fighting/Fire -> Bug/Fairy (<- 1x | 2x ->)
Psychic -> Fighting/Fire -> Ghost/Grass (<- 1x | 2x ->)
Psychic -> Fighting/Fire -> Ghost/Ice (<- 1x | 2x ->)
Psychic -> Fighting/Water -> Bug/Ground (<- 1x | 2x ->)
Psychic -> Fighting/Water -> Ghost/Ground (<- 1x | 2x ->)
